university of london	university of california davis	3	trans-continental
university of london	university of otago	2	trans-continental
university of london	national institutes of health	4	trans-continental
university of london	university of the philippines	2	trans-continental
university of london	boston children s hospital	3	Unknown
university of london	overseas development institute	2	international
university of london	ucl institute of child health	2	Unknown
university of london	ghent university	3	international
university of london	brigham and women s hospital	3	Unknown
university of london	brac university	2	trans-continental
university of london	university of maryland baltimore	2	trans-continental
university of london	swiss tropical and public health institute	2	international
university of london	university of manchester	2	international
university of london	university of nairobi	2	trans-continental
university of london	centers for disease control and prevention	2	trans-continental
university of london	marie stopes international	2	trans-continental
university of london	tufts university	2	trans-continental
university of london	liverpool school of tropical medicine	2	international
university of london	wellcome trust	3	international
university of london	norwegian institute of public health	2	international
university of london	rti international	2	trans-continental
university of london	university of malawi	5	trans-continental
university of london	world bank group	2	trans-continental
university of london	university of utah	2	trans-continental
university of london	rockefeller foundation	2	Unknown
university of london	university of british columbia	3	trans-continental
university of london	northwestern university	2	trans-continental
university of london	duke university	5	trans-continental
university of london	the george institute for global health	2	international
university of london	university of geneva	2	international
university of london	university of southampton	3	trans-continental
university of london	university of michigan	2	trans-continental
university of london	international livestock research institute	3	trans-continental
university of london	university of reading	2	international
university of london	heidelberg university	2	trans-continental
university of london	emory university	3	trans-continental
university of london	stockholm environment institute	2	Unknown
university of london	federal ministry of health	2	international
university of london	tshwane university of technology	2	trans-continental
university of london	university of leeds	2	international
university of london	university of buea	2	trans-continental
university of london	international organization for migration	2	trans-continental
makerere university	rti international	2	trans-continental
makerere university	unicef	3	trans-continental
makerere university	world health organization	2	trans-continental
makerere university	johns hopkins university	7	trans-continental
makerere university	karolinska institutet	5	trans-continental
makerere university	swiss tropical and public health institute	2	trans-continental
makerere university	uganda christian university	2	domestic
makerere university	columbia university	2	trans-continental
makerere university	world bank	2	trans-continental
makerere university	bill melinda gates foundation	2	trans-continental
makerere university	cornell university	2	trans-continental
makerere university	institute of tropical medicine antwerp	2	Unknown
makerere university	save the children	4	trans-continental
makerere university	harvard university	3	trans-continental
makerere university	university of leeds	2	trans-continental
makerere university	liverpool school of tropical medicine	3	trans-continental
makerere university	johns hopkins university school of medicine	2	Unknown
makerere university	university of california san francisco	2	trans-continental
rti international	centers for disease control and prevention	2	domestic
rti international	johns hopkins university	2	domestic
rti international	national institutes of health	4	domestic
rti international	drexel university	2	domestic
rti international	university of maryland baltimore	2	domestic
rti international	world health organization	3	trans-continental
rti international	university college london	2	trans-continental
rti international	harvard university	2	domestic
rti international	the george institute for global health	2	trans-continental
university of wisconsin madison	university of maryland college park	4	domestic
university of wisconsin madison	university of alaska fairbanks	2	domestic
university of wisconsin madison	united states geological survey	2	domestic
university of wisconsin madison	the nature conservancy	2	domestic
university of wisconsin madison	utah state university	2	domestic
university of wisconsin madison	hampton university	2	domestic
university of wisconsin madison	university of washington	2	domestic
university of wisconsin madison	ohio state university	2	domestic
stanford university	university of california	2	domestic
stanford university	university of arizona	2	domestic
stanford university	university of colorado boulder	2	domestic
stanford university	university of utah	2	domestic
stanford university	university of tokyo	2	trans-continental
stanford university	chinese academy of sciences	3	trans-continental
stanford university	world health organization	2	trans-continental
stanford university	king s college london	3	trans-continental
stanford university	university of oxford	2	trans-continental
stanford university	queen mary university of london	2	trans-continental
stanford university	yale university	3	domestic
stanford university	harvard university	9	domestic
stanford university	international food policy research institute	3	trans-continental
stanford university	university of california davis	3	domestic
stanford university	university of navarra	2	Unknown
stanford university	emory university	2	domestic
stanford university	cornell university	3	domestic
stanford university	australian national university	6	trans-continental
stanford university	university of washington	3	domestic
stanford university	columbia university	3	domestic
stanford university	bioversity international	4	trans-continental
stanford university	arizona state university	3	domestic
stanford university	university of alaska fairbanks	3	domestic
stanford university	university of minnesota	3	domestic
stanford university	united states department of agriculture	2	domestic
stanford university	university of sydney	2	trans-continental
stanford university	duke university	3	domestic
stanford university	national oceanic and atmospheric administration	2	Unknown
stanford university	university of british columbia	2	international
stanford university	rutgers university	2	domestic
stanford university	conservation international	2	trans-continental
stanford university	james cook university	2	trans-continental
stanford university	university of rhode island	2	domestic
stanford university	san diego state university	2	domestic
stanford university	northumbria university	2	trans-continental
stanford university	northwest university	2	domestic
stanford university	university of the witwatersrand	2	trans-continental
stanford university	aga khan university	2	trans-continental
stanford university	cgiar	2	trans-continental
stanford university	international water management institute	2	trans-continental
stanford university	international center for agricultural research in the dry areas	2	trans-continental
stanford university	stockholm resilience centre	2	trans-continental
stanford university	brigham and women s hospital	2	Unknown
stanford university	university of florida	3	domestic
stanford university	michigan state university	2	domestic
stanford university	international center for tropical agriculture	2	international
stanford university	university of twente	2	trans-continental
stanford university	washington state university	2	domestic
university of california	harvard university	3	domestic
university of california	university of nottingham	2	trans-continental
university of california	world health organization	2	trans-continental
university of california	charles sturt university	2	trans-continental
portland state university	oregon state university	2	domestic
portland state university	university of colorado boulder	2	domestic
oregon state university	columbia university	2	domestic
oregon state university	wageningen university and research centre	2	trans-continental
oregon state university	university of florida	2	domestic
ghent university	free university of brussels	3	Unknown
ghent university	university of liege	2	Unknown
ghent university	katholieke universiteit leuven	2	Unknown
ghent university	universite catholique de louvain	2	domestic
ghent university	czech university of life sciences prague	2	international
ghent university	johns hopkins university	2	trans-continental
ghent university	harvard university	2	trans-continental
ghent university	university of copenhagen	2	international
ghent university	university of the witwatersrand	2	trans-continental
ghent university	world health organization	2	international
ghent university	university of antwerp	2	domestic
umm al qura university	birla institute of technology and science	2	Unknown
teri university	international institute for applied systems analysis	2	trans-continental
utrecht university	nyenrode business university	3	domestic
utrecht university	netherlands environmental assessment agency	11	Unknown
utrecht university	wageningen university and research centre	8	domestic
utrecht university	potsdam institute for climate impact research	7	Unknown
utrecht university	national center for atmospheric research	3	trans-continental
utrecht university	joint global change research institute	2	trans-continental
utrecht university	world bank	2	trans-continental
utrecht university	university of amsterdam	5	domestic
utrecht university	delft university of technology	2	domestic
utrecht university	university of washington	2	trans-continental
utrecht university	university of reading	2	international
utrecht university	keio university	2	trans-continental
utrecht university	international institute for applied systems analysis	7	international
utrecht university	commonwealth scientific and industrial research organisation	2	trans-continental
utrecht university	chinese academy of sciences	2	trans-continental
utrecht university	national institute for environmental studies	3	trans-continental
utrecht university	university college london	2	international
utrecht university	columbia university	2	trans-continental
utrecht university	bocconi university	2	international
utrecht university	national university of singapore	2	trans-continental
kyung hee university	university of belgrade	2	trans-continental
purdue university	university of tennessee	3	domestic
purdue university	chinese academy of sciences	4	trans-continental
purdue university	massachusetts institute of technology	2	domestic
purdue university	pennsylvania state university	2	domestic
indian agricultural research institute	indian council of agricultural research	2	Unknown
university of victoria	vancouver island university	2	domestic
university of victoria	world health organization	2	trans-continental
university of victoria	university of ontario institute of technology	2	domestic
university of victoria	international institute for applied systems analysis	2	trans-continental
university of victoria	university of tennessee	2	international
university of victoria	laval university	2	trans-continental
university of victoria	university of science and technology beijing	2	Unknown
george mason university	wageningen university and research centre	4	trans-continental
george mason university	virginia tech	2	domestic
george mason university	university of illinois at urbana champaign	2	domestic
george mason university	university of southern california	2	domestic
george mason university	university of toronto	2	international
george mason university	university of oxford	2	trans-continental
george mason university	arizona state university	2	domestic
wageningen university and research centre	university of twente	5	domestic
wageningen university and research centre	columbia university	4	trans-continental
wageningen university and research centre	international livestock research institute	3	trans-continental
wageningen university and research centre	swedish university of agricultural sciences	3	international
wageningen university and research centre	chinese academy of sciences	5	trans-continental
wageningen university and research centre	united nations environment programme	2	trans-continental
wageningen university and research centre	institut national de la recherche agronomique	6	international
wageningen university and research centre	aarhus university	4	international
wageningen university and research centre	bayer	2	international
wageningen university and research centre	tilburg university	3	domestic
wageningen university and research centre	netherlands environmental assessment agency	6	Unknown
wageningen university and research centre	international rice research institute	2	trans-continental
wageningen university and research centre	helmholtz centre for environmental research ufz	2	Unknown
wageningen university and research centre	agricultural research service	3	trans-continental
wageningen university and research centre	dalle molle institute for artificial intelligence research	2	Unknown
wageningen university and research centre	united states department of agriculture	4	trans-continental
wageningen university and research centre	potsdam institute for climate impact research	3	Unknown
wageningen university and research centre	research institute of organic agriculture	2	Unknown
wageningen university and research centre	university of leeds	4	international
wageningen university and research centre	lund university	2	international
wageningen university and research centre	unesco ihe institute for water education	2	Unknown
wageningen university and research centre	lancaster university	2	international
wageningen university and research centre	university of nottingham	2	international
wageningen university and research centre	rothamsted research	4	international
wageningen university and research centre	food and agriculture organization	2	trans-continental
wageningen university and research centre	international food policy research institute	3	trans-continental
wageningen university and research centre	university of vermont	2	trans-continental
wageningen university and research centre	washington state university	2	trans-continental
