Header
peking university	harvard university	4	['2010', '2017', '2018', '2018']	trans-continental
peking university	uppsala university	2	['2011', '2014']	trans-continental
peking university	karolinska institutet	3	['2011', '2013', '2014']	trans-continental
peking university	unicef	4	['2011', '2015', '2015', '2017']	trans-continental
peking university	sichuan university	7	['2011', '2015', '2015', '2016', '2017', '2017', '2018']	domestic
peking university	fudan university	2	['2013', '2014']	domestic
peking university	university of hong kong	2	['2014', '2018']	international
peking university	china university of geosciences	2	['2015', '2018']	domestic
peking university	world health organization	2	['2015', '2017']	trans-continental
peking university	university of washington	2	['2016', '2018']	trans-continental
peking university	chinese center for disease control and prevention	2	['2016', '2018']	domestic
peking university	queen mary university of london	2	['2016', '2017']	trans-continental
peking university	kathmandu	2	['2017', '2017']	international
peking university	university of cape town	2	['2017', '2018']	trans-continental
martin luther university of halle wittenberg	helmholtz centre for environmental research ufz	3	['2017', '2017', '2018']	domestic
martin luther university of halle wittenberg	international center for tropical agriculture	2	['2017', '2018']	trans-continental
martin luther university of halle wittenberg	university of twente	2	['2018', '2018']	international
martin luther university of halle wittenberg	commonwealth scientific and industrial research organisation	3	['2018', '2018', '2018']	trans-continental
martin luther university of halle wittenberg	woodrow wilson international center for scholars	2	['2018', '2018']	trans-continental
martin luther university of halle wittenberg	university of amsterdam	2	['2018', '2018']	international
martin luther university of halle wittenberg	university of alcala	2	['2018', '2018']	international
martin luther university of halle wittenberg	global biodiversity information facility	2	['2018', '2018']	international
martin luther university of halle wittenberg	florida museum of natural history	2	['2018', '2018']	trans-continental
university of essex	world health organization	2	['2012', '2012']	trans-continental
university of regina	north china electric power university	3	['2009', '2009', '2016']	trans-continental
university of regina	beijing normal university	5	['2016', '2017', '2018', '2018', '2018']	trans-continental
university of regina	capital university of economics and business	2	['2017', '2017']	trans-continental
university of regina	dongguan university of technology	2	['2018', '2018']	trans-continental
oko institut	university of osnabruck	2	['2007', '2007']	domestic
oko institut	york university	2	['2007', '2007']	trans-continental
blekinge institute of technology	lund university	2	['2016', '2018']	domestic
uganda virus research institute	medical research council	2	['2007', '2013']	trans-continental
university of barcelona	tel aviv university	2	['2012', '2016']	trans-continental
university of barcelona	imperial college london	2	['2016', '2017']	international
university of barcelona	world health organization	3	['2016', '2017', '2017']	trans-continental
university of barcelona	autonomous university of barcelona	2	['2017', '2018']	domestic
university of barcelona	king s college london	2	['2017', '2017']	international
university of barcelona	pompeu fabra university	2	['2017', '2018']	domestic
university of barcelona	the chinese university of hong kong	2	['2017', '2017']	trans-continental
university of barcelona	university of washington	2	['2017', '2018']	trans-continental
university of hong kong	yale university	2	['2017', '2017']	trans-continental
university of hong kong	university of cambridge	2	['2017', '2018']	trans-continental
pacific northwest national laboratory	oak ridge national laboratory	2	['2008', '2010']	domestic
trent university	stellenbosch university	3	['2016', '2016', '2016']	trans-continental
university of surrey	carleton university	2	['2005', '2007']	trans-continental
university of surrey	world health organization	2	['2010', '2017']	trans-continental
university of surrey	university of north carolina at chapel hill	3	['2010', '2012', '2012']	trans-continental
university of surrey	university of leeds	2	['2012', '2018']	domestic
commonwealth scientific and industrial research organisation	australian national university	12	['2001', '2006', '2008', '2011', '2011', '2014', '2016', '2016', '2016', '2018', '2018', '2018']	domestic
commonwealth scientific and industrial research organisation	la trobe university	3	['2008', '2017', '2018']	domestic
commonwealth scientific and industrial research organisation	university of melbourne	6	['2008', '2015', '2016', '2018', '2018', '2018']	domestic
commonwealth scientific and industrial research organisation	swedish university of agricultural sciences	3	['2011', '2011', '2018']	trans-continental
commonwealth scientific and industrial research organisation	stockholm university	4	['2011', '2014', '2017', '2018']	trans-continental
commonwealth scientific and industrial research organisation	arizona state university	3	['2011', '2014', '2018']	trans-continental
commonwealth scientific and industrial research organisation	university of alaska fairbanks	2	['2011', '2018']	trans-continental
commonwealth scientific and industrial research organisation	james cook university	4	['2012', '2015', '2017', '2018']	domestic
commonwealth scientific and industrial research organisation	university of the witwatersrand	2	['2014', '2017']	trans-continental
commonwealth scientific and industrial research organisation	international center for tropical agriculture	2	['2014', '2018']	trans-continental
commonwealth scientific and industrial research organisation	monash university	3	['2014', '2017', '2018']	domestic
commonwealth scientific and industrial research organisation	united nations	2	['2014', '2016']	trans-continental
commonwealth scientific and industrial research organisation	university of queensland	4	['2014', '2017', '2018', '2018']	trans-continental
commonwealth scientific and industrial research organisation	university of mataram	2	['2014', '2016']	trans-continental
commonwealth scientific and industrial research organisation	hobart corporation	3	['2015', '2017', '2017']	trans-continental
commonwealth scientific and industrial research organisation	university of british columbia	2	['2015', '2017']	trans-continental
commonwealth scientific and industrial research organisation	institut de recherche pour le developpement	2	['2015', '2018']	trans-continental
commonwealth scientific and industrial research organisation	university of new south wales	3	['2015', '2016', '2017']	domestic
commonwealth scientific and industrial research organisation	wageningen university and research centre	2	['2015', '2018']	trans-continental
commonwealth scientific and industrial research organisation	international institute for applied systems analysis	3	['2015', '2016', '2018']	trans-continental
commonwealth scientific and industrial research organisation	university of sydney	3	['2016', '2018', '2018']	domestic
commonwealth scientific and industrial research organisation	flinders university	2	['2016', '2018']	domestic
commonwealth scientific and industrial research organisation	university of twente	3	['2016', '2018', '2018']	trans-continental
commonwealth scientific and industrial research organisation	centre national de la recherche scientifique	2	['2016', '2018']	trans-continental
commonwealth scientific and industrial research organisation	stellenbosch university	3	['2016', '2017', '2017']	trans-continental
commonwealth scientific and industrial research organisation	university of california santa barbara	2	['2016', '2018']	trans-continental
commonwealth scientific and industrial research organisation	utrecht university	2	['2016', '2017']	trans-continental
commonwealth scientific and industrial research organisation	netherlands environmental assessment agency	2	['2016', '2017']	trans-continental
commonwealth scientific and industrial research organisation	chinese academy of sciences	3	['2016', '2016', '2018']	trans-continental
commonwealth scientific and industrial research organisation	stockholm resilience centre	2	['2016', '2017']	trans-continental
commonwealth scientific and industrial research organisation	concordia university	2	['2016', '2017']	trans-continental
commonwealth scientific and industrial research organisation	university of cape town	2	['2016', '2017']	trans-continental
commonwealth scientific and industrial research organisation	university of oxford	2	['2017', '2018']	trans-continental
commonwealth scientific and industrial research organisation	university of reading	2	['2017', '2017']	trans-continental
commonwealth scientific and industrial research organisation	university of florida	2	['2017', '2017']	trans-continental
commonwealth scientific and industrial research organisation	columbia university	2	['2017', '2017']	trans-continental
commonwealth scientific and industrial research organisation	university of tasmania	3	['2017', '2017', '2018']	domestic
commonwealth scientific and industrial research organisation	zoological society of london	2	['2017', '2018']	trans-continental
commonwealth scientific and industrial research organisation	spanish national research council	2	['2017', '2018']	trans-continental
commonwealth scientific and industrial research organisation	university of eastern finland	2	['2017', '2018']	trans-continental
commonwealth scientific and industrial research organisation	national oceanic and atmospheric administration	2	['2017', '2018']	trans-continental
commonwealth scientific and industrial research organisation	conservation international	2	['2017', '2018']	trans-continental
commonwealth scientific and industrial research organisation	yale university	2	['2017', '2018']	trans-continental
commonwealth scientific and industrial research organisation	queensland university of technology	2	['2018', '2018']	domestic
commonwealth scientific and industrial research organisation	nagoya university	3	['2018', '2018', '2018']	trans-continental
commonwealth scientific and industrial research organisation	woodrow wilson international center for scholars	2	['2018', '2018']	trans-continental
commonwealth scientific and industrial research organisation	university of amsterdam	2	['2018', '2018']	trans-continental
commonwealth scientific and industrial research organisation	university of alcala	2	['2018', '2018']	trans-continental
commonwealth scientific and industrial research organisation	global biodiversity information facility	2	['2018', '2018']	trans-continental
commonwealth scientific and industrial research organisation	florida museum of natural history	2	['2018', '2018']	trans-continental
commonwealth scientific and industrial research organisation	beijing normal university	2	['2018', '2018']	trans-continental
university of exeter	aberystwyth university	2	['2000', '2018']	domestic
university of exeter	rothamsted research	2	['2011', '2018']	domestic
university of exeter	university of east anglia	3	['2011', '2013', '2018']	domestic
university of exeter	game wildlife conservation trust	2	['2011', '2018']	trans-continental
university of exeter	university of southampton	3	['2015', '2016', '2018']	domestic
university of exeter	imperial college london	2	['2015', '2017']	domestic
university of exeter	bangor university	2	['2015', '2018']	domestic
university of exeter	university of york	2	['2015', '2017']	domestic
university of exeter	university of cape town	2	['2016', '2017']	trans-continental
university of exeter	world health organization	2	['2017', '2018']	trans-continental
university of exeter	university of reading	2	['2017', '2018']	domestic
university of exeter	university of leeds	2	['2018', '2018']	domestic
ministry of health and social services	world health organization	2	['2006', '2011']	domestic
california institute of technology	cornell university	2	['2014', '2014']	domestic
game wildlife conservation trust	rothamsted research	2	['2011', '2018']	trans-continental
game wildlife conservation trust	university of east anglia	2	['2011', '2018']	trans-continental
medecins sans frontieres	international union against tuberculosis and lung disease	4	['2011', '2013', '2016', '2018']	trans-continental
medecins sans frontieres	university of london	4	['2011', '2013', '2016', '2018']	trans-continental
state university of campinas	world health organization	2	['2005', '2011']	trans-continental
state university of campinas	university of london	2	['2005', '2006']	trans-continental
state university of campinas	australian national university	2	['2017', '2017']	trans-continental
university of new south wales	world health organization	2	['2005', '2014']	trans-continental
university of new south wales	university of melbourne	2	['2007', '2017']	domestic
university of new south wales	university of technology sydney	3	['2011', '2014', '2014']	domestic
university of new south wales	university of wollongong	2	['2013', '2017']	domestic
university of new south wales	hobart corporation	2	['2015', '2017']	trans-continental
university of new south wales	university of british columbia	2	['2015', '2017']	trans-continental
university of new south wales	griffith university	2	['2015', '2016']	domestic
university of new south wales	flinders university	2	['2015', '2018']	domestic
university of new south wales	university of queensland	2	['2015', '2017']	trans-continental
university of new south wales	university of sydney	7	['2015', '2016', '2016', '2017', '2017', '2017', '2018']	domestic
university of new south wales	university of leeds	2	['2016', '2017']	trans-continental
university of new south wales	united nations	2	['2017', '2017']	trans-continental
university of new south wales	monash university	2	['2017', '2017']	domestic
university of new south wales	kathmandu	2	['2017', '2017']	trans-continental
university of new south wales	la trobe university	2	['2017', '2017']	domestic
university of new south wales	university of gloucestershire	2	['2017', '2018']	trans-continental
partners in health	columbia university	3	['2005', '2013', '2017']	domestic
partners in health	harvard university	6	['2009', '2011', '2015', '2016', '2016', '2017']	domestic
partners in health	brigham and women s hospital	4	['2011', '2015', '2016', '2017']	domestic
partners in health	national university of rwanda	2	['2011', '2016']	trans-continental
partners in health	university of zambia	2	['2013', '2017']	trans-continental
partners in health	university of washington	3	['2013', '2016', '2017']	domestic
colorado school of mines	international institute for applied systems analysis	2	['2018', '2018']	trans-continental
jimma university	university of gondar	2	['2013', '2018']	domestic
university of twente	vu university amsterdam	2	['2008', '2018']	domestic
university of twente	wageningen university and research centre	5	['2010', '2011', '2012', '2012', '2018']	domestic
university of twente	australian national university	3	['2011', '2016', '2017']	trans-continental
university of twente	helmholtz centre for environmental research ufz	2	['2011', '2018']	international
university of twente	tilburg university	2	['2012', '2012']	domestic
university of twente	delft university of technology	4	['2015', '2015', '2017', '2018']	domestic
university of twente	flinders university	2	['2016', '2018']	trans-continental
university of twente	university of melbourne	2	['2016', '2018']	trans-continental
university of twente	aston university	2	['2016', '2018']	international
university of twente	columbia university	2	['2016', '2018']	trans-continental
university of twente	bioversity international	2	['2016', '2018']	international
university of twente	international center for tropical agriculture	3	['2016', '2018', '2018']	trans-continental
university of twente	international food policy research institute	3	['2016', '2017', '2018']	trans-continental
university of twente	washington state university	2	['2016', '2018']	trans-continental
university of twente	international water management institute	2	['2016', '2018']	trans-continental
university of twente	stanford university	2	['2016', '2018']	trans-continental
university of twente	king s college london	2	['2016', '2018']	international
university of twente	imperial college london	2	['2017', '2018']	international
university of twente	university of queensland	2	['2017', '2017']	trans-continental
university of twente	africa rice center	2	['2017', '2018']	trans-continental
university of twente	woodrow wilson international center for scholars	2	['2018', '2018']	trans-continental
university of twente	university of amsterdam	2	['2018', '2018']	domestic
university of twente	university of alcala	2	['2018', '2018']	international
university of twente	global biodiversity information facility	2	['2018', '2018']	international
university of twente	florida museum of natural history	2	['2018', '2018']	trans-continental
university of twente	stockholm university	2	['2018', '2018']	international
university of twente	university of arizona	2	['2018', '2018']	trans-continental
denver federal center	united states geological survey	2	['2009', '2018']	domestic
ithaca college	johns hopkins university	2	['2005', '2005']	domestic
united nations environment programme	international institute for environment and development	2	['2003', '2013']	international
united nations environment programme	wageningen university and research centre	2	['2003', '2007']	trans-continental
united nations environment programme	indian institute of management ahmedabad	5	['2007', '2011', '2014', '2015', '2016']	trans-continental
united nations environment programme	birdlife international	3	['2013', '2015', '2016']	trans-continental
united nations environment programme	international union for conservation of nature and natural resources	3	['2015', '2016', '2016']	trans-continental
united nations environment programme	conservation international	2	['2015', '2016']	domestic
united nations environment programme	university of british columbia	2	['2017', '2017']	international
